<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	03:00:00	1.12182	1.12244	1.12180	1.12209	1116	0	5
2020.01.02	04:00:00	1.12208	1.12244	1.12182	1.12221	849	0	5
2020.01.02	05:00:00	1.12221	1.12230	1.12123	1.12132	736	0	5
2020.01.02	06:00:00	1.12132	1.12142	1.12008	1.12011	1069	0	5
2020.01.02	07:00:00	1.12011	1.12043	1.12008	1.12043	776	0	5
2020.01.02	08:00:00	1.12042	1.12075	1.12036	1.12070	1130	0	5
2020.01.02	09:00:00	1.12075	1.12101	1.12042	1.12097	2079	0	5
2020.01.02	10:00:00	1.12097	1.12135	1.12050	1.12118	2371	0	5
2020.01.02	11:00:00	1.12118	1.12138	1.12011	1.12028	2053	0	5
2020.01.02	12:00:00	1.12028	1.12037	1.11926	1.11981	1911	0	5
2020.01.02	13:00:00	1.11981	1.12020	1.11841	1.11845	2562	0	5
2020.01.02	14:00:00	1.11847	1.11942	1.11828	1.11929	2117	0	5
2020.01.02	15:00:00	1.11928	1.11969	1.11894	1.11962	2385	0	5
2020.01.02	16:00:00	1.11960	1.11963	1.11699	1.11739	3768	0	5
2020.01.02	17:00:00	1.11739	1.12021	1.11708	1.12004	4875	0	5
2020.01.02	18:00:00	1.12004	1.12028	1.11650	1.11661	3847	0	5
2020.01.02	19:00:00	1.11661	1.11716	1.11634	1.11697	2209	0	5
2020.01.02	20:00:00	1.11697	1.11721	1.11635	1.11701	1898	0	5
2020.01.02	21:00:00	1.11701	1.11702	1.11642	1.11662	1692	0	5
2020.01.02	22:00:00	1.11662	1.11715	1.11658	1.11691	1391	0	5
2020.01.02	23:00:00	1.11691	1.11733	1.11688	1.11723	589	0	5
2020.01.03	00:00:00	1.11709	1.11726	1.11680	1.11711	426	0	12
2020.01.03	01:00:00	1.11711	1.11733	1.11699	1.11708	408	0	5
2020.01.03	02:00:00	1.11708	1.11759	1.11696	1.11753	910	0	5
2020.01.03	03:00:00	1.11753	1.11783	1.11721	1.11733	1158	0	5
2020.01.03	04:00:00	1.11733	1.11773	1.11716	1.11725	1891	0	5
2020.01.03	05:00:00	1.11725	1.11735	1.11695	1.11719	1377	0	5
2020.01.03	06:00:00	1.11719	1.11748	1.11684	1.11699	889	0	5
2020.01.03	07:00:00	1.11699	1.11704	1.11643	1.11662	1626	0	5
2020.01.03	08:00:00	1.11662	1.11694	1.11638	1.11689	1063	0	5
2020.01.03	09:00:00	1.11689	1.11714	1.11520	1.11530	3290	0	5
2020.01.03	10:00:00	1.11530	1.11603	1.11505	1.11509	3337	0	5
2020.01.03	11:00:00	1.11509	1.11521	1.11399	1.11400	2906	0	5
2020.01.03	12:00:00	1.11400	1.11433	1.11306	1.11359	3247	0	5
2020.01.03	13:00:00	1.11357	1.11359	1.11248	1.11299	2503	0	5
