<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	03:00:00	1.32565	1.32660	1.32531	1.32557	2637	0	8
2020.01.02	04:00:00	1.32557	1.32560	1.32437	1.32481	1998	0	8
2020.01.02	05:00:00	1.32481	1.32490	1.32024	1.32091	2934	0	8
2020.01.02	06:00:00	1.32091	1.32176	1.32030	1.32069	2706	0	8
2020.01.02	07:00:00	1.32069	1.32138	1.32020	1.32135	2879	0	8
2020.01.02	08:00:00	1.32135	1.32240	1.32062	1.32185	2603	0	8
2020.01.02	09:00:00	1.32200	1.32291	1.32094	1.32193	4206	0	8
2020.01.02	10:00:00	1.32193	1.32302	1.32091	1.32217	5447	0	8
2020.01.02	11:00:00	1.32217	1.32270	1.32098	1.32139	3355	0	8
2020.01.02	12:00:00	1.32139	1.32146	1.32049	1.32110	3493	0	8
2020.01.02	13:00:00	1.32109	1.32111	1.31892	1.31993	4737	0	8
2020.01.02	14:00:00	1.31991	1.32125	1.31904	1.31967	4568	0	8
2020.01.02	15:00:00	1.31967	1.31968	1.31711	1.31761	4875	0	8
2020.01.02	16:00:00	1.31761	1.31774	1.31350	1.31472	6104	0	8
2020.01.02	17:00:00	1.31472	1.31942	1.31453	1.31889	6292	0	8
2020.01.02	18:00:00	1.31888	1.31896	1.31236	1.31268	6396	0	8
2020.01.02	19:00:00	1.31267	1.31342	1.31151	1.31341	5135	0	8
2020.01.02	20:00:00	1.31340	1.31434	1.31247	1.31394	4519	0	8
2020.01.02	21:00:00	1.31394	1.31403	1.31278	1.31287	3853	0	8
2020.01.02	22:00:00	1.31287	1.31454	1.31286	1.31384	3036	0	8
2020.01.02	23:00:00	1.31384	1.31418	1.31350	1.31352	1208	0	8
2020.01.03	00:00:00	1.31317	1.31414	1.31278	1.31314	2049	0	23
2020.01.03	01:00:00	1.31314	1.31477	1.31314	1.31468	1847	0	8
2020.01.03	02:00:00	1.31467	1.31568	1.31398	1.31550	1999	0	8
