<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	03:00:00	108.698	108.728	108.634	108.670	1522	0	8
2020.01.02	04:00:00	108.670	108.685	108.652	108.674	1083	0	8
2020.01.02	05:00:00	108.675	108.709	108.670	108.703	816	0	8
2020.01.02	06:00:00	108.702	108.740	108.695	108.738	927	0	8
2020.01.02	07:00:00	108.739	108.754	108.729	108.738	1018	0	8
2020.01.02	08:00:00	108.738	108.745	108.710	108.711	739	0	8
2020.01.02	09:00:00	108.708	108.796	108.691	108.782	2237	0	8
2020.01.02	10:00:00	108.782	108.816	108.762	108.776	2827	0	8
2020.01.02	11:00:00	108.776	108.839	108.771	108.835	2082	0	8
2020.01.02	12:00:00	108.835	108.862	108.788	108.803	1854	0	8
2020.01.02	13:00:00	108.804	108.809	108.767	108.768	1770	0	8
2020.01.02	14:00:00	108.768	108.803	108.753	108.783	1533	0	8
2020.01.02	15:00:00	108.784	108.786	108.653	108.689	2217	0	8
2020.01.02	16:00:00	108.689	108.746	108.632	108.670	3019	0	8
2020.01.02	17:00:00	108.670	108.677	108.208	108.268	4909	0	8
2020.01.02	18:00:00	108.268	108.440	108.257	108.430	2998	0	8
2020.01.02	19:00:00	108.430	108.549	108.427	108.524	2399	0	8
2020.01.02	20:00:00	108.524	108.556	108.494	108.518	2168	0	8
2020.01.02	21:00:00	108.518	108.567	108.507	108.544	1761	0	8
2020.01.02	22:00:00	108.544	108.557	108.489	108.552	1424	0	8
2020.01.02	23:00:00	108.552	108.554	108.523	108.553	669	0	8
2020.01.03	00:00:00	108.541	108.563	108.480	108.540	830	0	8
2020.01.03	01:00:00	108.540	108.626	108.532	108.541	1430	0	8
2020.01.03	02:00:00	108.541	108.559	108.388	108.403	2143	0	8
2020.01.03	03:00:00	108.403	108.438	108.162	108.200	2953	0	8
2020.01.03	04:00:00	108.200	108.238	107.996	108.057	5796	0	8
2020.01.03	05:00:00	108.058	108.181	108.002	108.179	3543	0	8
2020.01.03	06:00:00	108.178	108.228	108.122	108.129	2652	0	8
2020.01.03	07:00:00	108.129	108.161	108.077	108.120	2722	0	8
2020.01.03	08:00:00	108.120	108.149	108.077	108.137	1584	0	8
2020.01.03	09:00:00	108.138	108.138	107.912	107.943	4359	0	8
2020.01.03	10:00:00	107.944	108.069	107.928	107.989	4870	0	8
2020.01.03	11:00:00	107.989	108.066	107.917	108.064	4325	0	8
2020.01.03	12:00:00	108.064	108.127	108.012	108.047	4498	0	8
